Geneid	gene_name	Cell1Fungi3	Cell1Fungi1	Naive1	Cell2Bug2	Naive2	Cell2Fungi1	Cell1Bug2	Cell2Fungi2	Cell1Fungi2	Naive3	Cell2Bug3	Cell1Bug3	Naive4	Cell2Fungi3	Cell1Bug1	Cell2Bug1
ENSMUSG00000102693	4933401J01Rik	1	0	7	0	20	0	1	0	0	0	0	0	9	0	0	0
ENSMUSG00000064842	Gm26206	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000051951	Xkr4	1	0	2	0	7	0	0	0	2	0	0	0	15	0	0	0
ENSMUSG00000102851	Gm18956	0	0	2	0	5	0	0	0	0	0	0	0	9	0	0	0
ENSMUSG00000103377	Gm37180	1	0	4	0	7	0	0	0	1	0	1	0	9	1	0	0
ENSMUSG00000104017	Gm37363	3	2	11	1	17	1	0	1	0	3	0	0	51	0	0	0
ENSMUSG00000103025	Gm37686	1	1	4	0	9	2	0	0	0	1	0	0	26	0	0	0
ENSMUSG00000089699	Gm1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	Gm37329	0	0	1	0	2	0	0	0	0	1	0	0	8	0	0	0
ENSMUSG00000103147	Gm7341	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000103161	Gm38148	1	3	7	0	3	1	0	1	0	2	0	0	11	0	1	0
ENSMUSG00000102331	Gm19938	1	0	9	0	20	0	0	0	0	6	0	0	37	0	0	0
ENSMUSG00000102348	Gm10568	0	0	1	0	7	0	0	0	1	0	0	0	9	0	0	0
ENSMUSG00000102592	Gm38385	0	1	1	0	3	1	0	0	0	1	0	0	13	1	0	0
ENSMUSG00000088333	Gm27396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	Gm37381	0	0	7	0	7	0	0	0	1	0	0	0	24	0	0	0
ENSMUSG00000102948	Gm6101	0	2	1	0	1	0	0	1	0	0	0	0	5	0	0	0
ENSMUSG00000025900	Rp1	1	2	2	0	11	1	0	0	1	0	0	0	20	0	2	0
ENSMUSG00000104123	Gm37483	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000025902	Sox17	40	30	5	32	38	29	55	40	62	21	15	44	29	25	50	32
ENSMUSG00000104238	Gm37587	0	1	1	0	2	0	0	0	0	1	0	1	9	1	0	0
ENSMUSG00000102269	Gm7357	0	0	2	0	2	0	1	0	0	0	0	0	4	2	0	0
ENSMUSG00000096126	Gm22307	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103003	Gm38076	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000104328	Gm37323	0	0	1	1	3	0	0	1	1	0	0	0	8	0	0	0
ENSMUSG00000102735	Gm7369	1	0	5	0	11	1	0	0	0	2	0	0	10	2	1	0
ENSMUSG00000098104	Gm6085	15	11	41	21	21	12	37	7	14	20	14	14	29	10	12	25
ENSMUSG00000102175	Gm6119	1	2	5	1	1	0	2	1	2	4	1	2	11	0	1	0
ENSMUSG00000088000	Gm25493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	Gm2053	1	0	0	1	1	1	1	0	0	0	0	0	2	1	0	0
ENSMUSG00000103922	Gm6123	5	10	3	3	9	4	5	5	6	9	3	7	9	6	3	3
ENSMUSG00000033845	Mrpl15	1191	1090	1396	1854	1248	1313	1362	1398	1120	1400	1863	1391	1043	1312	1151	2078
ENSMUSG00000102275	Gm37144	2	2	8	2	2	3	1	3	8	1	0	2	12	2	1	1
ENSMUSG00000025903	Lypla1	2004	1748	2027	987	2474	2895	1399	2903	1834	2532	1906	2290	1799	2557	1576	1522
ENSMUSG00000104217	Gm37988	1	1	0	1	1	1	0	0	0	1	0	1	1	0	2	1
ENSMUSG00000033813	Tcea1	913	894	677	391	1142	947	748	997	951	1207	532	1021	894	968	784	487
ENSMUSG00000062588	Gm6104	2	0	0	0	1	2	0	1	1	1	0	2	0	0	0	0
ENSMUSG00000103280	Gm37277	6	4	14	10	21	9	9	7	3	17	6	10	28	6	6	8
ENSMUSG00000002459	Rgs20	1	3	5	10	5	3	2	5	1	5	1	4	19	1	2	1
ENSMUSG00000091305	Gm17100	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000102653	Gm37079	1	0	8	0	14	0	2	0	0	1	0	0	29	0	2	0
ENSMUSG00000085623	Gm16041	1	0	2	0	6	0	0	0	2	0	0	0	3	1	0	0
ENSMUSG00000091665	Gm17101	0	0	1	0	2	0	0	0	1	0	0	0	6	0	0	0
ENSMUSG00000033793	Atp6v1h	4709	4145	3750	5624	4392	5168	4254	5298	4232	4482	5698	5223	3309	4915	4605	5812
ENSMUSG00000104352	Gm7182	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
